,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.28664202135192296,0.2210551513846927,0.06907666981497826,0.20417507869873172,0.5257590617946293,R
1,0.1111839151159857,0.12990386624434083,0.4107575011279906,0.13320724569266995,0.05424230925015436,R
2,0.15274991915690433,0.5336598511197281,0.2929192429554411,0.10672229883435307,0.5127009303048126,R
3,0.8116570069658997,0.9222074508654716,0.9148805975846055,0.4991796929503718,0.4613560088058147,M
4,0.4841740797522787,0.15832025092303004,0.34814222045034804,0.14063041926580275,0.40034359200184966,R
5,0.48753851424740907,0.6176436148274153,0.5670590446131197,0.8804753925407025,0.9097031735997906,M
6,0.4358641928877107,0.45725038451762356,0.06594380896577172,0.10983642401657905,0.42407265658160487,R
7,0.9739483263134547,0.7496890835465315,0.8840453400956155,0.6728141510617218,0.8822956520450819,M
8,0.3727059307502257,0.30051608275158076,0.174373192081995,0.10768979501985092,0.4259697752901718,R
9,0.6389286505587763,0.42895265601080784,0.45327111004464066,0.5189276338247961,0.8062688637543908,M
10,0.4579292659237811,0.4951505644564113,0.8750840626302747,0.6067879661421928,0.9041507545736527,M
11,0.49698010055146474,0.13398371215240495,0.3116416312380048,0.5105929833105075,0.10391550423125503,R
12,0.27630790381524345,0.5656999547169554,0.04939335748885335,0.26104973063860226,0.13270559257601544,R
13,0.32928283250668505,0.37584352800390347,0.08859540207673228,0.05145294316479019,0.5405226846134822,R
14,0.33431323133637747,0.4941509769050408,0.07345997230951844,0.1972084289406176,0.19518604702205095,R
15,0.9771134755090318,0.5673030945929998,0.5116675768472119,0.47038600240779865,0.5283764466542659,M
16,0.3865027546813237,0.023012161360239175,0.33490091801823907,0.27438385215051325,0.10573549103231111,R
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,0.060109292728249754,0.07004219809301873,0.18547145425649392,0.4380815541102628,0.2992519556750502,R
35,0.421721051617712,0.42336511824702516,0.3521558207476248,0.4840338786417378,0.21891775637410898,R
36,0.662890212301913,0.8829107770434985,0.8725536890307473,0.7213062852559031,0.4357819917864868,M
37,0.44262635140560674,0.11984830359572636,0.0003065107488202463,0.33342508965592443,0.0738306749829501,R
38,0.4946310413855234,0.3491631296705569,0.11560352464218505,0.06743989475655479,0.3774576393409551,R
39,0.26660063069135664,0.4596901924369469,0.5498628786734341,0.4729384150351122,0.17716247820929046,R
40,0.5319110678800816,0.4344508547216098,0.18253726781662064,0.4242081423112365,0.4443043548011739,R
41,0.9098052850910305,0.43076797853465487,0.6439192727395693,0.6222401024226085,0.5400154194589925,M
42,0.10145122240242871,0.3653682296310059,0.5324996835506061,0.49360785318796846,0.5287186880395088,R
43,0.886435695909874,0.9428761482896932,0.7986585701965319,0.7464321983771904,0.9568089457498157,M
44,0.5833857688095434,0.816605513097792,0.9370400205455776,0.5544369112797951,0.775054431628832,M
45,0.12236326565936,0.5113917669756591,0.38981263897356255,0.48331914036377177,0.5101866444457669,R
46,0.48190112358009485,0.9507311560349121,0.9062532833873028,0.7785070344691007,0.4394878183099392,M
47,0.6835689624204535,0.5967998483191134,0.6471226586831254,0.5264546583787043,0.5622811001586437,M
48,0.9241825448664673,0.6457118874221404,0.7755218561899139,0.6008386177059791,0.7207614732204434,M
49,0.5350207283997598,0.5411038075099115,0.12113044058467808,0.3165223136940846,0.4967092402022388,R
50,0.9637864952532091,0.841411191876992,0.5070376554131512,0.7335592580862551,0.49474305846741473,M
51,0.3949042234330254,0.5539071537360877,0.00455045991494068,0.5648387723114214,0.31442622773149426,R
52,0.8076983125946182,0.8439670901689886,0.9919859316109971,0.8468984279710832,0.5842098410646654,M
53,0.5350692508273819,0.42235242406324924,0.17496170599359906,0.19251496792910358,0.4784122715265465,R
54,0.9281357139915571,0.42023282734387046,0.956943750543434,0.7791361141730131,0.7557689412905462,M
55,0.010947847376833152,0.3811283371594308,0.5152735116348678,0.5615827508434389,0.4249388716882723,R
56,0.1329155407125357,0.46783614986609673,0.500616607554519,0.1887436478483599,0.2788545046974812,R
